run,noise,model,acc
run1,0,model_nt,0.9879
run1,0.1,model_nt,0.9869285714285714
run1,0.2,model_nt,0.9841428571428571
run1,0.3,model_nt,0.9759
run1,0.4,model_nt,0.9310571428571428
run1,0.5,model_nt,0.7683714285714286
run1,0.6,model_nt,0.5450571428571429
run1,0.7,model_nt,0.38047142857142857
run1,0.8,model_nt,0.27722857142857144
run1,0.9,model_nt,0.21642857142857144
run1,1,model_nt,0.18177142857142858
run2,0,model_nt,0.9752857142857143
run2,0.1,model_nt,0.9764857142857143
run2,0.2,model_nt,0.9729
run2,0.3,model_nt,0.9583428571428572
run2,0.4,model_nt,0.9002142857142857
run2,0.5,model_nt,0.7045285714285714
run2,0.6,model_nt,0.45864285714285713
run2,0.7,model_nt,0.30095714285714287
run2,0.8,model_nt,0.21362857142857142
run2,0.9,model_nt,0.16232857142857143
run2,1,model_nt,0.13724285714285714
run3,0,model_nt,0.9814
run3,0.1,model_nt,0.9827142857142858
run3,0.2,model_nt,0.9795571428571429
run3,0.3,model_nt,0.9692142857142857
run3,0.4,model_nt,0.8925857142857143
run3,0.5,model_nt,0.6763
run3,0.6,model_nt,0.46114285714285713
run3,0.7,model_nt,0.3242285714285714
run3,0.8,model_nt,0.24737142857142858
run3,0.9,model_nt,0.2046
run3,1,model_nt,0.18165714285714285
run4,0,model_nt,0.9831714285714286
run4,0.1,model_nt,0.9827428571428571
run4,0.2,model_nt,0.9798285714285714
run4,0.3,model_nt,0.9688142857142857
run4,0.4,model_nt,0.9134714285714286
run4,0.5,model_nt,0.7315857142857143
run4,0.6,model_nt,0.5001857142857142
run4,0.7,model_nt,0.3492857142857143
run4,0.8,model_nt,0.2632285714285714
run4,0.9,model_nt,0.2122
run4,1,model_nt,0.1839571428571428
run5,0,model_nt,0.9877857142857143
run5,0.1,model_nt,0.9872285714285715
run5,0.2,model_nt,0.9846428571428572
run5,0.3,model_nt,0.9755857142857143
run5,0.4,model_nt,0.9182714285714285
run5,0.5,model_nt,0.7359142857142857
run5,0.6,model_nt,0.5450714285714285
run5,0.7,model_nt,0.4083
run5,0.8,model_nt,0.3194571428571429
run5,0.9,model_nt,0.26184285714285715
run5,1,model_nt,0.22502857142857144
run1,0,model_asd,0.9300571428571428
run1,0.1,model_asd,0.9321857142857143
run1,0.2,model_asd,0.9203285714285714
run1,0.3,model_asd,0.8691857142857143
run1,0.4,model_asd,0.6888285714285715
run1,0.5,model_asd,0.4596142857142857
run1,0.6,model_asd,0.3188
run1,0.7,model_asd,0.23231428571428572
run1,0.8,model_asd,0.18324285714285715
run1,0.9,model_asd,0.15092857142857144
run1,1,model_asd,0.13331428571428572
run2,0,model_asd,0.9465428571428571
run2,0.1,model_asd,0.9457714285714286
run2,0.2,model_asd,0.9348857142857143
run2,0.3,model_asd,0.8922428571428571
run2,0.4,model_asd,0.7434714285714286
run2,0.5,model_asd,0.4850285714285714
run2,0.6,model_asd,0.3068714285714286
run2,0.7,model_asd,0.2233
run2,0.8,model_asd,0.1798
run2,0.9,model_asd,0.1575
run2,1,model_asd,0.14492857142857143
run3,0,model_asd,0.9462428571428572
run3,0.1,model_asd,0.9467285714285715
run3,0.2,model_asd,0.9395857142857142
run3,0.3,model_asd,0.9071571428571429
run3,0.4,model_asd,0.7842571428571429
run3,0.5,model_asd,0.5586571428571429
run3,0.6,model_asd,0.38184285714285715
run3,0.7,model_asd,0.2718
run3,0.8,model_asd,0.2088142857142857
run3,0.9,model_asd,0.17152857142857142
run3,1,model_asd,0.14877142857142858
run4,0,model_asd,0.9473714285714285
run4,0.1,model_asd,0.9466285714285714
run4,0.2,model_asd,0.9330714285714286
run4,0.3,model_asd,0.8726142857142857
run4,0.4,model_asd,0.6897857142857143
run4,0.5,model_asd,0.47131428571428574
run4,0.6,model_asd,0.3229142857142857
run4,0.7,model_asd,0.24284285714285714
run4,0.8,model_asd,0.19592857142857142
run4,0.9,model_asd,0.1662
run4,1,model_asd,0.14711428571428573
run5,0,model_asd,0.9454
run5,0.1,model_asd,0.9463714285714285
run5,0.2,model_asd,0.9375857142857142
run5,0.3,model_asd,0.8986714285714286
run5,0.4,model_asd,0.7445428571428572
run5,0.5,model_asd,0.5070285714285714
run5,0.6,model_asd,0.34895714285714285
run5,0.7,model_asd,0.2546428571428571
run5,0.8,model_asd,0.19634285714285715
run5,0.9,model_asd,0.16704285714285713
run5,1,model_asd,0.14714285714285713
run1,0,model_syn,0.9776714285714285
run1,0.1,model_syn,0.9774571428571428
run1,0.2,model_syn,0.9733571428571428
run1,0.3,model_syn,0.9616142857142858
run1,0.4,model_syn,0.918
run1,0.5,model_syn,0.7945428571428571
run1,0.6,model_syn,0.5712571428571429
run1,0.7,model_syn,0.3776285714285714
run1,0.8,model_syn,0.2657857142857143
run1,0.9,model_syn,0.20577142857142858
run1,1,model_syn,0.17268571428571428
run2,0,model_syn,0.9878857142857143
run2,0.1,model_syn,0.9873285714285714
run2,0.2,model_syn,0.9839714285714286
run2,0.3,model_syn,0.9751857142857143
run2,0.4,model_syn,0.9268428571428572
run2,0.5,model_syn,0.7820285714285714
run2,0.6,model_syn,0.5894571428571429
run2,0.7,model_syn,0.43557142857142855
