run,model,weight
run1,nt,0.0025382247
run1,nt,0.027289657
run1,nt,0.008978755
run1,nt,0.01895155
run1,nt,0.013305518
run1,nt,0.01840117
run1,nt,0.045048576
run1,nt,0.031958897
run1,nt,0.021606103
run1,nt,0.017559133
run1,nt,0.03038474
run1,nt,0.024160212
run1,nt,0.0030735445
run1,nt,0.015000221
run1,nt,0.02602934
run1,nt,0.018837629
run1,nt,0.032503266
run1,nt,-0.010034901
run1,nt,0.009061144
run1,nt,0.025641555
run1,nt,0.022390584
run1,nt,-0.0030552025
run1,nt,-0.0058940337
run1,nt,0.018780515
run1,nt,0.030883083
run1,nt,0.0056341495
run1,nt,0.014762816
run1,nt,0.010173574
run1,nt,0.027659975
run1,nt,0.021724185
run1,nt,0.024806848
run1,nt,0.010486291
run1,nt,0.015502036
run1,nt,0.02090654
run1,nt,0.01759784
run1,nt,0.009793337
run1,nt,0.020517344
run1,nt,0.013246331
run1,nt,0.029548971
run1,nt,0.024648437
run1,nt,0.026721992
run1,nt,0.011248958
run1,nt,0.011821049
run1,nt,4.71E-04
run1,nt,0.006870255
run1,nt,0.0139560485
run1,nt,0.01951175
run1,nt,0.00790367
run1,nt,0.008980639
run1,nt,0.021729646
run1,nt,0.039124426
run1,nt,0.019590488
run1,nt,0.014110764
run1,nt,-0.01929226
run1,nt,0.0059631653
run1,nt,-0.000536276
run1,nt,0.027640684
run1,nt,0.017901778
run1,nt,-0.0012361748
run1,nt,-0.010631166
run1,nt,0.02574102
run1,nt,0.021350527
run1,nt,0.047662605
run1,nt,0.008483913
run2,nt,0.00060886826
run2,nt,0.012066096
run2,nt,0.028364496
run2,nt,0.017704157
run2,nt,0.038099185
run2,nt,-0.0016887728
run2,nt,0.00018954712
run2,nt,0.03003779
run2,nt,0.012087076
run2,nt,0.03516097
run2,nt,0.025612483
run2,nt,0.025333544
run2,nt,0.028375084
run2,nt,0.025029242
run2,nt,-0.020470312
run2,nt,0.016629545
run2,nt,0.010507547
run2,nt,0.015965044
run2,nt,0.041125547
run2,nt,0.023724908
run2,nt,0.018569956
run2,nt,0.0057979915
run2,nt,0.01305278
run2,nt,0.023422614
run2,nt,0.007866767
run2,nt,0.03444971
run2,nt,0.005809543
run2,nt,0.0011009142
run2,nt,0.0099268835
run2,nt,0.01647061
run2,nt,0.023984328
run2,nt,0.033604197
run2,nt,0.007671481
run2,nt,0.022818783
run2,nt,0.017365336
run2,nt,0.036191147
run2,nt,0.018214582
run2,nt,0.019355824
run2,nt,0.021597927
run2,nt,0.012728449
run2,nt,0.0111945
run2,nt,0.0032767078
run2,nt,0.014475557
run2,nt,0.027713915
run2,nt,0.04371724
run2,nt,0.011752874
run2,nt,0.018386375
run2,nt,0.0005647323
run2,nt,0.0377346
run2,nt,0.02460247
run2,nt,0.028940432
run2,nt,0.034980666
run2,nt,0.013090402
run2,nt,0.014413542
run2,nt,0.028801411
run2,nt,0.00050754164
run2,nt,0.004591582
run2,nt,0.030235529
run2,nt,0.0046665124
run2,nt,0.016369542
run2,nt,0.017209454
run2,nt,0.023503132
run2,nt,-0.008255735
run2,nt,0.018412013
run3,nt,0.00060886826
run3,nt,0.012066096
run3,nt,0.028364496
run3,nt,0.017704157
run3,nt,0.038099185
run3,nt,-0.0016887728
run3,nt,0.00018954712
run3,nt,0.03003779
run3,nt,0.012087076
run3,nt,0.03516097
run3,nt,0.025612483
run3,nt,0.025333544
run3,nt,0.028375084
run3,nt,0.025029242
run3,nt,-0.020470312
run3,nt,0.016629545
run3,nt,0.010507547
run3,nt,0.015965044
run3,nt,0.041125547
run3,nt,0.023724908
run3,nt,0.018569956
run3,nt,0.0057979915
run3,nt,0.01305278
run3,nt,0.023422614
run3,nt,0.007866767
run3,nt,0.03444971
run3,nt,0.005809543
run3,nt,0.0011009142
run3,nt,0.0099268835
run3,nt,0.01647061
run3,nt,0.023984328
run3,nt,0.033604197
run3,nt,0.007671481
run3,nt,0.022818783
run3,nt,0.017365336
run3,nt,0.036191147
run3,nt,0.018214582
run3,nt,0.019355824
run3,nt,0.021597927
run3,nt,0.012728449
run3,nt,0.0111945
run3,nt,0.0032767078
run3,nt,0.014475557
run3,nt,0.027713915
run3,nt,0.04371724
run3,nt,0.011752874
run3,nt,0.018386375
run3,nt,0.0005647323
run3,nt,0.0377346
run3,nt,0.02460247
run3,nt,0.028940432
run3,nt,0.034980666
run3,nt,0.013090402
run3,nt,0.014413542
run3,nt,0.028801411
run3,nt,0.00050754164
run3,nt,0.004591582
run3,nt,0.030235529
run3,nt,0.0046665124
run3,nt,0.016369542
run3,nt,0.017209454
run3,nt,0.023503132
run3,nt,-0.008255735
run3,nt,0.018412013
run4,nt,0.010512027
run4,nt,0.015301179
run4,nt,0.030559635
run4,nt,0.024624817
run4,nt,0.034180474
run4,nt,0.012849808
run4,nt,0.026372924
run4,nt,0.03253798
run4,nt,0.03781047
run4,nt,0.017529739
run4,nt,0.023340637
run4,nt,0.04428326
run4,nt,0.03006314
run4,nt,0.02369231
run4,nt,-0.018362267
run4,nt,0.024340538
run4,nt,0.0038003128
run4,nt,0.015971487
run4,nt,0.017648403
run4,nt,0.030496733
run4,nt,0.021502828
run4,nt,-0.0006065884
run4,nt,0.011649544
run4,nt,0.013489912
run4,nt,0.025998747
run4,nt,0.011683772
run4,nt,0.028905945
run4,nt,0.01142064
run4,nt,0.011243504
run4,nt,0.031887542
run4,nt,0.02831655
run4,nt,0.026414553
run4,nt,0.027077274
run4,nt,0.020685766
run4,nt,0.01617431
run4,nt,0.028341832
run4,nt,0.0090005705
run4,nt,0.02041526
run4,nt,-0.015135467
run4,nt,0.041837495
run4,nt,-0.017286379
run4,nt,0.017189221
run4,nt,0.026712796
run4,nt,0.022681987
run4,nt,0.028819652
run4,nt,0.01908542
run4,nt,0.017574234
run4,nt,0.031508807
run4,nt,0.022531414
run4,nt,0.010588187
run4,nt,0.023921357
run4,nt,0.007350922
run4,nt,0.019385368
run4,nt,0.026192745
run4,nt,0.039549526
run4,nt,0.019328618
run4,nt,0.006561521
run4,nt,-0.0007419462
run4,nt,-0.014852419
run4,nt,0.01341324
run4,nt,0.03309123
run4,nt,0.013094901
run4,nt,0.018265538
run4,nt,0.00881693
run5,nt,0.020655958
run5,nt,0.007906501
run5,nt,0.026058158
run5,nt,0.0047866935
run5,nt,0.04424325
run5,nt,0.02275928
run5,nt,0.023743054
run5,nt,0.02883912
run5,nt,0.009225071
run5,nt,0.014704484
run5,nt,0.022005828
run5,nt,0.019455796
run5,nt,0.023200886
run5,nt,0.0099917175
run5,nt,0.022603327
run5,nt,-0.0025774066
run5,nt,0.024753278
run5,nt,0.04899916
run5,nt,0.0019217437
run5,nt,0.013347637
run5,nt,0.036789782
run5,nt,0.0077002845
run5,nt,0.01232271
run5,nt,0.047426134
run5,nt,0.0052721985
run5,nt,0.010636576
run5,nt,0.025490068
run5,nt,0.019408975
run5,nt,0.037590846
run5,nt,0.038881313
run5,nt,-0.0076159965
run5,nt,0.025472676
run5,nt,0.0080146445
run5,nt,0.027523717
run5,nt,0.022728344
run5,nt,0.025627559
run5,nt,-0.007007268
run5,nt,0.024317881
run5,nt,0.012465066
run5,nt,0.034616295
run5,nt,0.0015035277
run5,nt,0.019643784
run5,nt,0.028090047
run5,nt,0.016154263
run5,nt,0.009415115
run5,nt,0.04124388
run5,nt,0.042499837
run5,nt,0.0038703333
run5,nt,0.033253167
run5,nt,0.02310501
run5,nt,0.015803939
run5,nt,0.024840211
run5,nt,0.008696959
run5,nt,0.023659924
run5,nt,0.018103898
run5,nt,0.017547445
run5,nt,0.005881231
run5,nt,0.023423305
run5,nt,0.039564513
run5,nt,0.012516856
run5,nt,0.034742918
run5,nt,0.016492965
run5,nt,0.020056674
run5,nt,0.016041264
run1,asd,-0.025223522
run1,model_asd,-0.007007151
run1,model_asd,-0.014343667
run1,model_asd,0.013208223
run1,model_asd,0.013452473
run1,model_asd,-0.007368994
run1,model_asd,-0.000262698
run1,model_asd,-0.024109682
run1,model_asd,-0.008366515
run1,model_asd,0.01681303
run1,model_asd,-0.009299836
run1,model_asd,-0.001094562
run1,model_asd,-0.017176427
run1,model_asd,-0.003472935
run1,model_asd,0.004401603
run1,model_asd,-0.013261822
run1,model_asd,0.001126649
run1,model_asd,-0.009435279
run1,model_asd,0.00065545
run1,model_asd,0.007794939
run1,model_asd,0.017110141
run1,model_asd,0.004216764
run1,model_asd,0.01003712
run1,model_asd,0.004388713
run1,model_asd,-0.003613457
run1,model_asd,0.014458337
run1,model_asd,0.01379593
run1,model_asd,0.028713873
run1,model_asd,0.005229855
run1,model_asd,0.001612661
run1,model_asd,0.029438863
run1,model_asd,-0.004832087
run1,model_asd,0.002106526
run1,model_asd,0.007961201
run1,model_asd,-0.004229822
run1,model_asd,0.005072344
run1,model_asd,0.008489523
run1,model_asd,0.0205459
run1,model_asd,-0.002503645
run1,model_asd,0.015249662
run1,model_asd,0.008751762
run1,model_asd,0.00803069
run1,model_asd,0.002379268
run1,model_asd,-0.009263829
run1,model_asd,0.007613327
run1,model_asd,-0.008639549
run1,model_asd,-0.030421162
run1,model_asd,0.002807217
run1,model_asd,-0.006408311
run1,model_asd,-0.011056334
run1,model_asd,0.023006653
run1,model_asd,-0.024841746
run1,model_asd,0.014457294
run1,model_asd,0.009561856
run1,model_asd,-0.012219167
run1,model_asd,0.005524543
run1,model_asd,-0.002382277
run1,model_asd,0.005562207
run1,model_asd,-0.007131057
run1,model_asd,0.017046353
run1,model_asd,0.002362284
run1,model_asd,0.003572957
run1,model_asd,0.004337814
run1,model_asd,-0.009932932
run2,model_asd,-0.025223522
run2,model_asd,-0.007007151
run2,model_asd,-0.014343667
run2,model_asd,0.013208223
run2,model_asd,0.013452473
run2,model_asd,-0.007368994
run2,model_asd,-0.000262698
run2,model_asd,-0.024109682
run2,model_asd,-0.008366515
run2,model_asd,0.01681303
run2,model_asd,-0.009299836
run2,model_asd,-0.001094562
run2,model_asd,-0.017176427
run2,model_asd,-0.003472935
run2,model_asd,0.004401603
run2,model_asd,-0.013261822
run2,model_asd,0.001126649
run2,model_asd,-0.009435279
run2,model_asd,0.00065545
run2,model_asd,0.007794939
run2,model_asd,0.017110141
run2,model_asd,0.004216764
run2,model_asd,0.01003712
run2,model_asd,0.004388713
run2,model_asd,-0.003613457
run2,model_asd,0.014458337
run2,model_asd,0.01379593
run2,model_asd,0.028713873
run2,model_asd,0.005229855
run2,model_asd,0.001612661
run2,model_asd,0.029438863
run2,model_asd,-0.004832087
run2,model_asd,0.002106526
run2,model_asd,0.007961201
run2,model_asd,-0.004229822
run2,model_asd,0.005072344
run2,model_asd,0.008489523
run2,model_asd,0.0205459
run2,model_asd,-0.002503645
run2,model_asd,0.015249662
run2,model_asd,0.008751762
run2,model_asd,0.00803069
run2,model_asd,0.002379268
run2,model_asd,-0.009263829
run2,model_asd,0.007613327
run2,model_asd,-0.008639549
run2,model_asd,-0.030421162
run2,model_asd,0.002807217
run2,model_asd,-0.006408311
run2,model_asd,-0.011056334
run2,model_asd,0.023006653
run2,model_asd,-0.024841746
run2,model_asd,0.014457294
run2,model_asd,0.009561856
run2,model_asd,-0.012219167
run2,model_asd,0.005524543
run2,model_asd,-0.002382277
run2,model_asd,0.005562207
run2,model_asd,-0.007131057
run2,model_asd,0.017046353
run2,model_asd,0.002362284
run2,model_asd,0.003572957
run2,model_asd,0.004337814
run2,model_asd,-0.009932932
run3,model_asd,-0.022389203
run3,model_asd,-0.027051786
