run,model,weight
run1,nt,-0.002896695
run1,nt,-0.0011912812
run1,nt,-0.02369776
run1,nt,-0.0004133701
run1,nt,-0.038748063
run1,nt,-0.01074332
run1,nt,-0.009063989
run1,nt,-0.020531125
run1,nt,-0.012078803
run1,nt,-0.02610049
run1,nt,-0.020172222
run1,nt,-0.0074113533
run1,nt,-0.002295585
run1,nt,0.0040890337
run1,nt,-0.0018716458
run1,nt,-2.69E-03
run1,nt,-0.01554114
run1,nt,0.0075510675
run1,nt,-0.021058401
run1,nt,0.0030738642
run1,nt,-0.00087913545
run1,nt,0.0011592046
run1,nt,0.0028585584
run1,nt,-0.007455448
run1,nt,-0.011262147
run1,nt,-0.002920046
run1,nt,-0.003386786
run1,nt,0.00022578944
run1,nt,-0.028591223
run1,nt,0.00040762257
run1,nt,-0.008429958
run1,nt,-0.00026323495
run1,nt,-0.02610163
run1,nt,-0.0005481843
run1,nt,-0.017961578
run1,nt,-0.032828685
run1,nt,-0.034402005
run1,nt,-0.010464509
run1,nt,-0.02767685
run1,nt,-0.0051508015
run1,nt,-0.038235746
run1,nt,-0.022835242
run1,nt,0.007108492
run1,nt,-0.03040034
run1,nt,0.0043350654
run1,nt,-0.025982339
run1,nt,-0.0012103372
run1,nt,-0.014758527
run1,nt,0.00080157793
run1,nt,0.0008323374
run1,nt,-0.027165886
run1,nt,-0.001735566
run1,nt,-0.007102873
run1,nt,-0.012345451
run1,nt,-0.016927082
run1,nt,-0.031938873
run1,nt,-0.032288797
run1,nt,-0.025557235
run1,nt,-0.006613678
run1,nt,-0.032959092
run1,nt,-0.030342722
run1,nt,0.0012308857
run1,nt,-0.007902297
run1,nt,-0.015282197
run1,nt,0.0016139862
run1,nt,-0.003205651
run1,nt,0.018277625
run1,nt,-0.023175236
run1,nt,-0.00592467
run1,nt,0.023794632
run1,nt,-0.01307316
run1,nt,0.034289826
run1,nt,0.000929313
run1,nt,-0.012400186
run1,nt,0.022622045
run1,nt,-0.018234896
run1,nt,-0.0022458173
run1,nt,-0.005908205
run1,nt,0.0034918934
run1,nt,-0.006333175
run1,nt,-0.01229235
run1,nt,-0.0034967985
run1,nt,-0.027255375
run1,nt,0.0014590261
run1,nt,-0.0041382415
run1,nt,-0.00556069
run1,nt,-0.0042971587
run1,nt,-0.004561595
run1,nt,0.00835775
run1,nt,-0.022031985
run1,nt,-0.009951932
run1,nt,-0.0027351384
run1,nt,-0.011490786
run1,nt,-0.0005032919
run1,nt,-0.009072283
run1,nt,-0.013006552
run1,nt,-0.017415464
run1,nt,0.0019562244
run1,nt,0.016088808
run1,nt,-0.0020355266
run1,nt,-0.012675399
run1,nt,0.023775391
run1,nt,0.0015531555
run1,nt,0.016189892
run1,nt,0.013154168
run1,nt,-0.027481522
run1,nt,0.0031459183
run1,nt,-0.016700663
run1,nt,0.003004184
run1,nt,-0.007372152
run1,nt,0.0039558676
run1,nt,0.0066583576
run1,nt,0.005494297
run1,nt,-0.0035945326
run1,nt,-0.027480515
run1,nt,-0.00010608614
run1,nt,-0.0053427555
run1,nt,-0.0099501265
run1,nt,-0.012513695
run1,nt,0.0021271487
run1,nt,0.019553892
run1,nt,-0.018043095
run1,nt,0.001765545
run1,nt,0.0040540807
run1,nt,-0.033081368
run1,nt,0.0007493114
run1,nt,-0.003584139
run1,nt,-0.00885252
run1,nt,-0.028951887
run1,nt,0.0005161625
run1,nt,0.00012826361
run1,nt,-0.029233336
run1,nt,-0.02120391
run1,nt,0.07417251
run1,nt,-0.01236131
run1,nt,0.00052832905
run1,nt,-0.006874618
run1,nt,-0.018300727
run1,nt,-0.0060379663
run1,nt,-0.008441463
run1,nt,0.0019195259
run1,nt,-0.012469058
run1,nt,-0.0018300075
run1,nt,-0.00023000361
run1,nt,-0.0021390277
run1,nt,0.0019697004
run1,nt,-0.024674205
run1,nt,0.003409544
run1,nt,-0.020049743
run1,nt,-0.022886299
run1,nt,-0.027804539
run1,nt,0.051730707
run1,nt,-0.008131492
run1,nt,0.003611261
run1,nt,-0.0063273488
run1,nt,-0.010555014
run1,nt,-0.011159398
run1,nt,-0.003251609
run1,nt,-0.009314885
run1,nt,-0.025653074
run1,nt,-0.05437533
run1,nt,0.006457137
run1,nt,0.009893806
run1,nt,0.04159821
run1,nt,-0.033200763
run1,nt,0.03490226
